Checklist	ERC000050	ENA binned metagenome																									
tax_id	scientific_name	sample_alias	sample_title	sample_description	project name	assembly software	completeness score	completeness software	contamination score	binning software	Genome size (bp)	# contigs	N50 (contigs)	Longest contig (bp)	investigation type	binning parameters	taxonomic identity marker	isolation_source	collection date	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium	sample derived from	metagenomic source
198431	uncultured prokaryote	sam_R12-A.metabat.55	Binned sample R12-A.metabat.55	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	97.58	checkM v1.1.2	0.54	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1712911	55	56406	167882	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.49	Binned sample R12-A.metabat.49	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	96.46	checkM v1.1.2	0.45	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1991268	70	60986	135779	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.31	Binned sample R12-A.metabat.31	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	76.41	checkM v1.1.2	4	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1193403	260	5325	32217	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.44	Binned sample R12-A.metabat.44	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	98.39	checkM v1.1.2	8.93	MetaBAT2 v2.14 (biotools:MetaBAT_2)	3706089	128	53942	221734	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.153	Binned sample R12-A.metabat.153	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	91.94	checkM v1.1.2	3.55	MetaBAT2 v2.14 (biotools:MetaBAT_2)	5411059	111	146437	269518	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.103	Binned sample R12-A.metabat.103	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	57.52	checkM v1.1.2	0.36	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1270018	64	44397	95772	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.80	Binned sample R12-A.metabat.80	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	97.81	checkM v1.1.2	2.73	MetaBAT2 v2.14 (biotools:MetaBAT_2)	2442444	110	47009	147179	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.139	Binned sample R12-A.metabat.139	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	83.52	checkM v1.1.2	0.87	MetaBAT2 v2.14 (biotools:MetaBAT_2)	979016	217	4896	21834	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.194	Binned sample R12-A.metabat.194	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	97.39	checkM v1.1.2	0	MetaBAT2 v2.14 (biotools:MetaBAT_2)	2450105	29	169048	418602	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.118	Binned sample R12-A.metabat.118	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	59.12	checkM v1.1.2	3.79	MetaBAT2 v2.14 (biotools:MetaBAT_2)	3555182	436	11421	76417	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.101	Binned sample R12-A.metabat.101	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	75.66	checkM v1.1.2	1.65	MetaBAT2 v2.14 (biotools:MetaBAT_2)	859265	203	4663	22708	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.156	Binned sample R12-A.metabat.156	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	95.54	checkM v1.1.2	2.37	MetaBAT2 v2.14 (biotools:MetaBAT_2)	2040880	142	28678	109196	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.6	Binned sample R12-A.metabat.6	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	98.28	checkM v1.1.2	0	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1737367	27	354992	562176	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.38	Binned sample R12-A.metabat.38	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	86.18	checkM v1.1.2	0.75	MetaBAT2 v2.14 (biotools:MetaBAT_2)	3017411	152	30456	132731	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.1	Binned sample R12-A.metabat.1	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	98.52	checkM v1.1.2	0.09	MetaBAT2 v2.14 (biotools:MetaBAT_2)	2015177	56	52187	182319	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.34	Binned sample R12-A.metabat.34	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	90.43	checkM v1.1.2	1.48	MetaBAT2 v2.14 (biotools:MetaBAT_2)	2456377	70	77507	207197	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.190	Binned sample R12-A.metabat.190	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	99.82	checkM v1.1.2	0.27	MetaBAT2 v2.14 (biotools:MetaBAT_2)	2239448	41	143015	443590	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.64	Binned sample R12-A.metabat.64	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	84.24	checkM v1.1.2	2.3	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1539209	74	45390	99374	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.27	Binned sample R12-A.metabat.27	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	100	checkM v1.1.2	0.54	MetaBAT2 v2.14 (biotools:MetaBAT_2)	2373584	39	126742	369855	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.124	Binned sample R12-A.metabat.124	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	93.79	checkM v1.1.2	1.52	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1978257	75	66085	133054	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.83	Binned sample R12-A.metabat.83	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	70.66	checkM v1.1.2	1.83	MetaBAT2 v2.14 (biotools:MetaBAT_2)	2529636	557	5498	67776	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.123	Binned sample R12-A.metabat.123	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	76.89	checkM v1.1.2	0.19	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1158059	54	35071	140888	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
